season,bowler,runs_conceded,balls_bowled,wickets,matches,economy,wickets_per_match
2021.0,AK Markram,23,25,0,2,5.52,0.0
2021.0,AR Patel,315,285,16,12,6.63,1.33
2021.0,AU Rashid,35,18,0,1,11.67,0.0
2021.0,Abdul Samad,9,6,1,1,9.0,1.0
2021.0,Abhishek Sharma,66,63,4,6,6.29,0.67
2021.0,Akash Singh,39,24,0,1,9.75,0.0
2021.0,Arshdeep Singh,348,263,20,12,7.94,1.67
2021.0,Avesh Khan,466,383,27,16,7.3,1.69
2021.0,B Kumar,337,259,6,11,7.81,0.55
2021.0,BA Stokes,12,6,0,1,12.0,0.0
2021.0,C Sakariya,434,334,14,14,7.8,1.0
2021.0,CH Morris,396,262,17,11,9.07,1.55
2021.0,CJ Jordan,103,74,4,4,8.35,1.0
2021.0,CR Woakes,85,67,5,3,7.61,1.67
2021.0,CV Varun,456,416,20,17,6.58,1.18
2021.0,DJ Bravo,264,221,15,11,7.17,1.36
2021.0,DJ Hooda,136,96,2,7,8.5,0.29
2021.0,DL Chahar,453,339,16,15,8.02,1.07
2021.0,DR Sams,39,38,1,2,6.16,0.5
2021.0,DS Kulkarni,48,26,0,1,11.08,0.0
2021.0,DT Christian,156,104,4,9,9.0,0.44
2021.0,FA Allen,90,67,1,3,8.06,0.33
2021.0,GD Phillips,20,13,1,2,9.23,0.5
2021.0,GHS Garton,136,97,3,5,8.41,0.6
2021.0,GJ Maxwell,135,99,3,6,8.18,0.5
2021.0,HV Patel,461,361,35,15,7.66,2.33
2021.0,Harbhajan Singh,63,45,0,3,8.4,0.0
2021.0,Harpreet Brar,142,141,5,7,6.04,0.71
2021.0,I Sharma,98,72,1,3,8.17,0.33
2021.0,IC Porel,42,26,1,1,9.69,1.0
2021.0,Imran Tahir,16,26,3,1,3.69,3.0
2021.0,J Suchith,66,42,1,2,9.43,0.5
2021.0,J Yadav,131,106,3,5,7.42,0.6
2021.0,JA Richardson,122,69,3,3,10.61,1.0
2021.0,JD Unadkat,168,134,4,6,7.52,0.67
2021.0,JDS Neesham,68,54,5,3,7.56,1.67
2021.0,JJ Bumrah,422,347,22,14,7.3,1.57
2021.0,JO Holder,248,203,16,8,7.33,2.0
2021.0,JR Hazlewood,302,215,11,9,8.43,1.22
2021.0,Jalaj S Saxena,27,18,0,1,9.0,0.0
2021.0,K Rabada,464,346,16,15,8.05,1.07
2021.0,K Yadav,17,12,0,1,8.5,0.0
2021.0,KA Jamieson,271,179,9,9,9.08,1.0
2021.0,KA Pollard,95,85,6,9,6.71,0.67
2021.0,KH Pandya,267,210,5,12,7.63,0.42
2021.0,KK Ahmed,225,168,5,7,8.04,0.71
2021.0,KL Nagarkoti,25,12,0,1,12.5,0.0
2021.0,KM Asif,18,14,1,1,7.71,1.0
2021.0,KW Richardson,29,19,1,1,9.16,1.0
2021.0,Kartik Tyagi,125,93,4,4,8.06,1.0
2021.0,L Ngidi,129,75,5,3,10.32,1.67
2021.0,LH Ferguson,226,186,14,8,7.29,1.75
2021.0,LI Meriwala,32,19,1,1,10.11,1.0
2021.0,Lalit Yadav,101,84,4,5,7.21,0.8
2021.0,M Ashwin,100,71,1,3,8.45,0.33
2021.0,M Jansen,47,40,3,2,7.05,1.5
2021.0,M Markande,26,18,0,1,8.67,0.0
2021.0,M Prasidh Krishna,357,253,12,10,8.47,1.2
2021.0,MC Henriques,47,61,4,5,4.62,0.8
2021.0,MK Lomror,47,43,1,4,6.56,0.25
2021.0,MM Ali,163,154,7,10,6.35,0.7
2021.0,MP Stoinis,124,69,2,8,10.78,0.25
2021.0,Mohammad Nabi,86,48,2,3,10.75,0.67
2021.0,Mohammed Shami,400,323,20,14,7.43,1.43
2021.0,Mohammed Siraj,366,321,11,15,6.84,0.73
2021.0,Mujeeb Ur Rahman,30,26,2,1,6.92,2.0
2021.0,Mustafizur Rahman,448,327,18,14,8.22,1.29
2021.0,N Rana,12,12,0,2,6.0,0.0
2021.0,NM Coulter-Nile,131,121,7,5,6.5,1.4
2021.0,NT Ellis,91,68,1,3,8.03,0.33
2021.0,Navdeep Saini,53,25,0,2,12.72,0.0
2021.0,PJ Cummins,237,168,9,7,8.46,1.29
2021.0,PP Chawla,38,24,1,1,9.5,1.0
2021.0,PWH de Silva,60,36,0,2,10.0,0.0
2021.0,R Ashwin,334,278,8,13,7.21,0.62
2021.0,R Parag,73,39,2,6,11.23,0.33
2021.0,R Tewatia,342,229,8,13,8.96,0.62
2021.0,RA Jadeja,347,300,13,16,6.94,0.81
2021.0,RD Chahar,324,261,13,11,7.45,1.18
2021.0,RG Sharma,13,7,0,2,11.14,0.0
2021.0,RP Meredith,171,108,4,5,9.5,0.8
2021.0,RV Patel,22,20,0,1,6.6,0.0
2021.0,Rashid Khan,398,349,19,14,6.84,1.36
2021.0,Ravi Bishnoi,240,220,13,9,6.55,1.44
2021.0,S Dube,53,31,0,4,10.26,0.0
2021.0,S Gopal,84,42,0,3,12.0,0.0
2021.0,S Kaul,253,181,8,8,8.39,1.0
2021.0,S Nadeem,36,24,1,1,9.0,1.0
2021.0,S Sandeep Warrier,15,12,0,1,7.5,0.0
2021.0,SM Curran,332,209,10,9,9.53,1.11
2021.0,SN Thakur,531,388,22,16,8.21,1.38
2021.0,SP Narine,369,344,18,14,6.44,1.29
2021.0,Sandeep Sharma,204,145,3,7,8.44,0.43
2021.0,Shahbaz Ahmed,92,84,7,6,6.57,1.17
2021.0,Shakib Al Hasan,188,157,5,8,7.18,0.62
2021.0,Shivam Mavi,242,204,12,9,7.12,1.33
2021.0,T Natarajan,70,50,2,2,8.4,1.0
2021.0,T Shamsi,34,24,0,1,8.5,0.0
2021.0,TA Boult,409,317,14,14,7.74,1.0
2021.0,TG Southee,95,74,5,3,7.7,1.67
2021.0,TK Curran,104,72,4,3,8.67,1.33
2021.0,Umran Malik,96,75,2,3,7.68,0.67
2021.0,V Shankar,100,72,4,5,8.33,0.8
2021.0,VR Iyer,71,54,3,4,7.89,0.75
2021.0,Washington Sundar,119,98,3,6,7.29,0.5
2021.0,YS Chahal,381,323,19,15,7.08,1.27
2022.0,A Badoni,12,12,2,2,6.0,1.0
2022.0,A Nortje,219,143,9,6,9.19,1.5
2022.0,AD Russell,282,176,21,13,9.61,1.62
2022.0,AF Milne,19,15,0,1,7.6,0.0
2022.0,AJ Tye,113,69,3,3,9.83,1.0
2022.0,AK Markram,64,36,1,4,10.67,0.25
2022.0,AR Patel,323,261,6,13,7.43,0.46
2022.0,AS Joseph,269,185,8,9,8.72,0.89
2022.0,AS Roy,55,42,1,2,7.86,0.5
2022.0,Abdul Samad,8,6,0,1,8.0,0.0
2022.0,Abhishek Sharma,39,24,0,3,9.75,0.0
2022.0,Akash Deep,206,119,6,5,10.39,1.2
2022.0,Aman Hakim Khan,13,6,0,1,13.0,0.0
2022.0,Arshdeep Singh,402,317,12,14,7.61,0.86
2022.0,Avesh Khan,423,300,19,13,8.46,1.46
2022.0,B Kumar,394,330,13,14,7.16,0.93
2022.0,Basil Thampi,158,102,5,5,9.29,1.0
2022.0,C Sakariya,87,71,3,3,7.35,1.0
2022.0,CJ Jordan,136,80,3,4,10.2,0.75
2022.0,CV Varun,338,245,6,11,8.28,0.55
2022.0,D Brevis,8,3,1,1,16.0,1.0
2022.0,D Pretorius,213,138,7,6,9.26,1.17
2022.0,DG Nalkande,59,33,2,2,10.73,1.0
2022.0,DJ Bravo,303,229,17,10,7.94,1.7
