season,team,player,matches_played,batter,avg_runs_per_match,strike_rate
2009.0,Rajasthan Royals,RA Jadeja,13,RA Jadeja,22.69,106.88
2009.0,Rajasthan Royals,RJ Quiney,7,RJ Quiney,14.71,98.1
2009.0,Rajasthan Royals,SA Asnodkar,8,SA Asnodkar,12.25,100.0
2009.0,Rajasthan Royals,SK Trivedi,3,SK Trivedi,3.0,47.37
2009.0,Rajasthan Royals,SK Warne,10,SK Warne,10.8,91.53
2009.0,Rajasthan Royals,YK Pathan,13,YK Pathan,20.08,135.94
2009.0,Royal Challengers Bangalore,A Kumble,6,A Kumble,2.67,80.0
2009.0,Royal Challengers Bangalore,B Akhil,3,B Akhil,5.67,106.25
2009.0,Royal Challengers Bangalore,JD Ryder,5,JD Ryder,11.2,114.29
2009.0,Royal Challengers Bangalore,JH Kallis,15,JH Kallis,24.07,103.44
2009.0,Royal Challengers Bangalore,KP Pietersen,6,KP Pietersen,15.5,104.49
2009.0,Royal Challengers Bangalore,LRPL Taylor,11,LRPL Taylor,25.45,132.7
2009.0,Royal Challengers Bangalore,MK Pandey,4,MK Pandey,42.0,140.0
2009.0,Royal Challengers Bangalore,MV Boucher,9,MV Boucher,16.67,123.97
2009.0,Royal Challengers Bangalore,P Kumar,8,P Kumar,8.12,141.3
2009.0,Royal Challengers Bangalore,R Bishnoi,3,R Bishnoi,6.33,111.76
2009.0,Royal Challengers Bangalore,R Dravid,12,R Dravid,22.58,113.39
2009.0,Royal Challengers Bangalore,R Vinay Kumar,7,R Vinay Kumar,6.71,106.82
2009.0,Royal Challengers Bangalore,RE van der Merwe,8,RE van der Merwe,15.25,120.79
2009.0,Royal Challengers Bangalore,RV Uthappa,13,RV Uthappa,13.46,98.87
2009.0,Royal Challengers Bangalore,V Kohli,13,V Kohli,18.92,109.33
2010.0,Chennai Super Kings,JA Morkel,11,JA Morkel,18.09,147.41
2010.0,Chennai Super Kings,L Balaji,3,L Balaji,6.0,90.0
2010.0,Chennai Super Kings,M Vijay,15,M Vijay,30.53,150.16
2010.0,Chennai Super Kings,MEK Hussey,3,MEK Hussey,12.33,84.09
2010.0,Chennai Super Kings,ML Hayden,16,ML Hayden,21.62,117.29
2010.0,Chennai Super Kings,MS Dhoni,11,MS Dhoni,26.09,133.49
2010.0,Chennai Super Kings,PA Patel,4,PA Patel,18.0,86.75
2010.0,Chennai Super Kings,R Ashwin,6,R Ashwin,5.0,75.0
2010.0,Chennai Super Kings,S Badrinath,15,S Badrinath,23.73,114.84
2010.0,Chennai Super Kings,SK Raina,16,SK Raina,33.0,136.43
2010.0,Deccan Chargers,A Symonds,16,A Symonds,26.81,120.51
2010.0,Deccan Chargers,AC Gilchrist,16,AC Gilchrist,18.06,144.5
2010.0,Deccan Chargers,Anirudh Singh,4,Anirudh Singh,15.75,91.3
2010.0,Deccan Chargers,B Sumanth,4,B Sumanth,8.75,92.11
2010.0,Deccan Chargers,DR Smith,3,DR Smith,7.33,88.0
2010.0,Deccan Chargers,HH Gibbs,10,HH Gibbs,26.7,109.88
2010.0,Deccan Chargers,Jaskaran Singh,4,Jaskaran Singh,2.0,72.73
2010.0,Deccan Chargers,MD Mishra,11,MD Mishra,15.09,111.41
2010.0,Deccan Chargers,PP Ojha,3,PP Ojha,1.0,37.5
2010.0,Deccan Chargers,R Sharma,4,R Sharma,7.25,111.54
2010.0,Deccan Chargers,RG Sharma,16,RG Sharma,25.25,130.32
2010.0,Deccan Chargers,RJ Harris,5,RJ Harris,9.0,115.38
2010.0,Deccan Chargers,RP Singh,5,RP Singh,1.8,45.0
2010.0,Deccan Chargers,TL Suman,14,TL Suman,21.93,116.29
2010.0,Deccan Chargers,VVS Laxman,6,VVS Laxman,10.67,103.23
2010.0,Deccan Chargers,WPUJC Vaas,5,WPUJC Vaas,6.0,88.24
2010.0,Deccan Chargers,Y Venugopal Rao,4,Y Venugopal Rao,8.5,77.27
2010.0,Delhi Daredevils,A Mishra,7,A Mishra,5.57,72.22
2010.0,Delhi Daredevils,AB McDonald,3,AB McDonald,21.67,120.37
2010.0,Delhi Daredevils,AB de Villiers,7,AB de Villiers,15.86,90.24
2010.0,Delhi Daredevils,DA Warner,11,DA Warner,25.64,144.62
2010.0,Delhi Daredevils,DL Vettori,3,DL Vettori,11.0,117.86
2010.0,Delhi Daredevils,G Gambhir,10,G Gambhir,27.7,124.22
2010.0,Delhi Daredevils,KD Karthik,14,KD Karthik,19.86,114.88
2010.0,Delhi Daredevils,KM Jadhav,5,KM Jadhav,15.2,126.67
2010.0,Delhi Daredevils,M Manhas,8,M Manhas,19.62,103.97
2010.0,Delhi Daredevils,MF Maharoof,4,MF Maharoof,7.75,129.17
2010.0,Delhi Daredevils,PD Collingwood,7,PD Collingwood,29.0,127.67
2010.0,Delhi Daredevils,R Bhatia,3,R Bhatia,8.0,141.18
2010.0,Delhi Daredevils,TM Dilshan,6,TM Dilshan,7.33,80.0
2010.0,Delhi Daredevils,V Sehwag,14,V Sehwag,25.43,156.83
2010.0,Kings XI Punjab,AB Barath,3,AB Barath,14.0,97.67
2010.0,Kings XI Punjab,B Lee,3,B Lee,3.67,100.0
2010.0,Kings XI Punjab,DPMD Jayawardene,13,DPMD Jayawardene,34.23,142.63
2010.0,Kings XI Punjab,IK Pathan,13,IK Pathan,21.23,146.81
2010.0,Kings XI Punjab,KC Sangakkara,12,KC Sangakkara,29.75,137.31
2010.0,Kings XI Punjab,M Kaif,3,M Kaif,9.33,90.32
2010.0,Kings XI Punjab,MS Bisla,10,MS Bisla,21.8,115.34
2010.0,Kings XI Punjab,PP Chawla,6,PP Chawla,10.33,98.41
2010.0,Kings XI Punjab,RS Bopara,9,RS Bopara,27.56,111.21
2010.0,Kings XI Punjab,S Sreesanth,3,S Sreesanth,9.0,122.73
2010.0,Kings XI Punjab,SE Marsh,4,SE Marsh,36.75,125.64
2010.0,Kings XI Punjab,Yuvraj Singh,14,Yuvraj Singh,18.5,125.73
2010.0,Kolkata Knight Riders,AB Agarkar,4,AB Agarkar,10.0,133.33
2010.0,Kolkata Knight Riders,AD Mathews,10,AD Mathews,23.3,118.27
2010.0,Kolkata Knight Riders,BB McCullum,5,BB McCullum,22.8,97.44
2010.0,Kolkata Knight Riders,BJ Hodge,4,BJ Hodge,24.75,104.21
2010.0,Kolkata Knight Riders,CA Pujara,6,CA Pujara,20.33,102.52
2010.0,Kolkata Knight Riders,CH Gayle,9,CH Gayle,32.44,148.22
2010.0,Kolkata Knight Riders,DJ Hussey,6,DJ Hussey,15.67,105.62
2010.0,Kolkata Knight Riders,MK Tiwary,11,MK Tiwary,21.55,123.44
2010.0,Kolkata Knight Riders,OA Shah,5,OA Shah,23.0,119.79
2010.0,Kolkata Knight Riders,SC Ganguly,14,SC Ganguly,35.21,112.05
2010.0,Kolkata Knight Riders,WP Saha,6,WP Saha,11.17,126.42
2010.0,Mumbai Indians,AM Nayar,3,AM Nayar,19.33,113.73
2010.0,Mumbai Indians,AP Tare,4,AP Tare,12.5,121.95
2010.0,Mumbai Indians,AT Rayudu,14,AT Rayudu,25.43,137.98
2010.0,Mumbai Indians,DJ Bravo,8,DJ Bravo,7.62,115.09
2010.0,Mumbai Indians,Harbhajan Singh,7,Harbhajan Singh,15.0,164.06
2010.0,Mumbai Indians,JP Duminy,7,JP Duminy,22.43,117.16
2010.0,Mumbai Indians,KA Pollard,14,KA Pollard,19.5,179.61
2010.0,Mumbai Indians,R McLaren,7,R McLaren,9.43,92.96
2010.0,Mumbai Indians,R Sathish,10,R Sathish,11.2,114.29
2010.0,Mumbai Indians,S Dhawan,10,S Dhawan,19.1,106.11
2010.0,Mumbai Indians,SR Tendulkar,15,SR Tendulkar,41.2,126.38
2010.0,Mumbai Indians,SS Tiwary,15,SS Tiwary,27.93,131.35
2010.0,Mumbai Indians,ST Jayasuriya,4,ST Jayasuriya,8.25,94.29
2010.0,Mumbai Indians,Z Khan,3,Z Khan,8.0,184.62
2010.0,Rajasthan Royals,AA Jhunjhunwala,10,AA Jhunjhunwala,18.3,106.4
2010.0,Rajasthan Royals,AC Voges,7,AC Voges,25.86,126.57
2010.0,Rajasthan Royals,AS Raut,5,AS Raut,11.2,116.67
2010.0,Rajasthan Royals,FY Fazal,9,FY Fazal,18.22,102.5
2010.0,Rajasthan Royals,MJ Lumb,11,MJ Lumb,25.27,141.84
2010.0,Rajasthan Royals,NV Ojha,14,NV Ojha,26.93,128.23
2010.0,Rajasthan Royals,P Dogra,8,P Dogra,13.38,99.07
2010.0,Rajasthan Royals,S Narwal,3,S Narwal,4.67,107.69
2010.0,Rajasthan Royals,SK Trivedi,4,SK Trivedi,5.0,133.33
2010.0,Rajasthan Royals,SK Warne,6,SK Warne,1.67,47.62
2010.0,Rajasthan Royals,SR Watson,5,SR Watson,37.0,158.12
2010.0,Rajasthan Royals,YK Pathan,14,YK Pathan,23.79,158.57
2010.0,Royal Challengers Bangalore,A Kumble,5,A Kumble,1.2,50.0
2010.0,Royal Challengers Bangalore,CL White,5,CL White,9.6,145.45
2010.0,Royal Challengers Bangalore,DW Steyn,4,DW Steyn,3.25,76.47
2010.0,Royal Challengers Bangalore,EJG Morgan,4,EJG Morgan,8.75,112.9
2010.0,Royal Challengers Bangalore,JH Kallis,16,JH Kallis,35.75,110.64
2010.0,Royal Challengers Bangalore,KP Pietersen,7,KP Pietersen,33.71,148.43
2010.0,Royal Challengers Bangalore,LRPL Taylor,7,LRPL Taylor,12.57,114.29
2010.0,Royal Challengers Bangalore,MK Pandey,13,MK Pandey,19.15,106.87
2010.0,Royal Challengers Bangalore,P Kumar,3,P Kumar,1.33,50.0
2010.0,Royal Challengers Bangalore,R Dravid,11,R Dravid,23.27,126.11
2010.0,Royal Challengers Bangalore,R Vinay Kumar,5,R Vinay Kumar,5.4,77.14
2010.0,Royal Challengers Bangalore,RV Uthappa,14,RV Uthappa,26.71,166.96
2010.0,Royal Challengers Bangalore,V Kohli,13,V Kohli,23.62,142.13
2011.0,Chennai Super Kings,JA Morkel,12,JA Morkel,11.5,127.78
2011.0,Chennai Super Kings,M Vijay,16,M Vijay,27.12,124.36
2011.0,Chennai Super Kings,MEK Hussey,14,MEK Hussey,35.14,116.31
2011.0,Chennai Super Kings,MS Dhoni,13,MS Dhoni,30.15,158.7
2011.0,Chennai Super Kings,S Anirudha,5,S Anirudha,16.6,106.41
2011.0,Chennai Super Kings,S Badrinath,12,S Badrinath,33.0,123.75
2011.0,Chennai Super Kings,SK Raina,16,SK Raina,27.38,130.75
2011.0,Deccan Chargers,A Mishra,9,A Mishra,7.56,130.77
2011.0,Deccan Chargers,B Chipli,13,B Chipli,15.92,120.35
2011.0,Deccan Chargers,CL White,6,CL White,17.33,95.41
2011.0,Deccan Chargers,DB Ravi Teja,9,DB Ravi Teja,20.33,124.49
2011.0,Deccan Chargers,DT Christian,13,DT Christian,14.62,118.01
2011.0,Deccan Chargers,DW Steyn,5,DW Steyn,7.2,97.3
2011.0,Deccan Chargers,I Sharma,4,I Sharma,1.0,80.0
2011.0,Deccan Chargers,JP Duminy,10,JP Duminy,20.5,116.48
2011.0,Deccan Chargers,KC Sangakkara,13,KC Sangakkara,27.54,120.13
2011.0,Deccan Chargers,S Dhawan,14,S Dhawan,28.57,126.98
2011.0,Deccan Chargers,S Sohal,10,S Sohal,24.9,123.88
2011.0,Delhi Daredevils,AJ Finch,6,AJ Finch,7.83,92.16
2011.0,Delhi Daredevils,DA Warner,12,DA Warner,25.42,112.55
2011.0,Delhi Daredevils,IK Pathan,12,IK Pathan,12.5,102.74
2011.0,Delhi Daredevils,JR Hopes,8,JR Hopes,24.5,120.99
2011.0,Delhi Daredevils,M Morkel,5,M Morkel,8.0,160.0
2011.0,Delhi Daredevils,NV Ojha,13,NV Ojha,11.69,102.01
2011.0,Delhi Daredevils,RE van der Merwe,4,RE van der Merwe,3.5,87.5
